code,local_code,name,iso_country
AO-BIE,BIE,Bié Province,AO
AO-CAB,CAB,Cabinda Province,AO
AO-CCU,CCU,Cuando Cubango Province,AO
AO-CNN,CNN,Cunene Province,AO
AO-CNO,CNO,Cuanza Norte Province,AO
AO-CUS,CUS,Cuanza Sul Province,AO
AO-HUA,HUA,Huambo Province,AO
AO-HUI,HUI,Huíla Province,AO
AO-LNO,LNO,Lunda Norte Province,AO
AO-LSU,LSU,Lunda Sul Province,AO
AO-LUA,LUA,Luanda Province,AO
AO-MAL,MAL,Malanje Province,AO
AO-MOX,MOX,Moxico Province,AO
AO-NAM,NAM,Namibe Province,AO
AO-UIG,UIG,Uíge Province,AO
AO-ZAI,ZAI,Zaire Province,AO
AR-A,A,Salta Province,AR
AR-B,B,Buenos Aires Province,AR
AR-C,C,Capital federal,AR
AR-D,D,San Luis Province,AR
AR-E,E,Entre Ríos Province,AR
AR-F,F,La Rioja Province,AR
AR-G,G,Santiago del Estero Province,AR
AR-H,H,Chaco Province,AR
AR-J,J,San Juan Province,AR
AR-K,K,Catamarca Province,AR
AR-L,L,La Pampa Province,AR
AR-M,M,Mendoza Province,AR
AR-N,N,Misiones Province,AR
AR-P,P,Formosa Province,AR
AR-Q,Q,Neuquén Province,AR
AR-R,R,Río Negro Province,AR
AR-S,S,Santa Fe Province,AR
AR-T,T,Tucumán Province,AR
AR-U,U,Chubut Province,AR
AR-V,V,Tierra del Fuego Province,AR
AR-W,W,Corrientes Province,AR
AR-X,X,Córdoba Province,AR
AR-Y,Y,Jujuy Province,AR
AR-Z,Z,Santa Cruz Province,AR
AS-ET,ET,Eastern District,AS
AS-MA,MA,Manuʻa District,AS
AS-WT,WT,Western District,AS
AT-1,1,Burgenland,AT
AT-2,2,Carinthia,AT
AT-3,3,Lower Austria,AT
AT-4,4,Upper Austria,AT
AT-5,5,Salzburg,AT
AT-6,6,Styria,AT
AT-7,7,Tyrol,AT
AT-8,8,Vorarlberg,AT
AT-9,9,Vienna,AT
AU-AAT,AAT,Australian Antarctic Territory,AU
AU-ACT,ACT,Australian Capital Territory,AU
AU-NSW,NSW,New South Wales,AU
AU-NT,NT,Northern Territory,AU
AU-QLD,QLD,Queensland,AU
AU-SA,SA,South Australia,AU
AU-TAS,TAS,Tasmania,AU
AU-VIC,VIC,Victoria,AU
AU-WA,WA,Western Australia,AU
AZ-AB,AB,Ali Bayramli District,AZ
AZ-ABS,ABS,Abseron District,AZ
AZ-AGA,AGA,Agstafa District,AZ
AZ-AGC,AGC,Agjabadi District,AZ
AZ-AGM,AGM,Agdam District,AZ
AZ-AGS,AGS,Agdash District,AZ
AZ-AGU,AGU,Agsu District,AZ
AZ-AST,AST,Astara District,AZ
AZ-BA,BA,Baku (city),AZ
AZ-BAB,BAB,Babak District,AZ
AZ-BAL,BAL,Balakan District,AZ
AZ-BAR,BAR,Barda District,AZ
AZ-BEY,BEY,Beylagan District,AZ
AZ-BIL,BIL,Bilasuvar District,AZ
AZ-CAB,CAB,Cabrayll District,AZ
AZ-CAL,CAL,Calilabad District,AZ
AZ-CUL,CUL,Culfa District,AZ
AZ-DAS,DAS,Daskasan District,AZ
AZ-DAV,DAV,Davaci District,AZ
AZ-FUZ,FUZ,Fuzuli District,AZ
AZ-GA,GA,Ganja (city),AZ
AZ-GAD,GAD,Gadabay District,AZ
AZ-GOR,GOR,Goranboy District,AZ
AZ-GOY,GOY,Goychay District,AZ
AZ-HAC,HAC,Hajigabul District,AZ
AZ-IMI,IMI,Imisli District,AZ
AZ-ISM,ISM,Ismayilli District,AZ
AZ-KAL,KAL,Kalbacar District,AZ
AZ-KUR,KUR,Kurdamir District,AZ
AZ-LA,LA,Lankaran District,AZ
AZ-LAC,LAC,Lacin District,AZ
AZ-LER,LER,Lerik District,AZ
AZ-MAS,MAS,Masally District,AZ
AZ-MI,MI,Mingacevir District,AZ
AZ-NA,NA,Naftalan District,AZ
AZ-NEF,NEF,Neftcala District,AZ
AZ-NX,NX,Nakhchivan Autonomous Republic,AZ
AZ-OGU,OGU,Oguz District,AZ
AZ-ORD,ORD,Ordubad District,AZ
AZ-QAB,QAB,Qabala District,AZ
AZ-QAX,QAX,Qax District,AZ
AZ-QAZ,QAZ,Qazax District,AZ
AZ-QBA,QBA,Quba District,AZ
AZ-QBI,QBI,Qubadli District,AZ
AZ-QOB,QOB,Qobustan District,AZ
AZ-QUS,QUS,Qusar District,AZ
AZ-SA,SA,Shaki District,AZ
AZ-SAB,SAB,Sabirabad District,AZ
AZ-SAD,SAD,Sadarak District,AZ
AZ-SAH,SAH,Sahbuz District,AZ
AZ-SAL,SAL,Salyan District,AZ
AZ-SAR,SAR,Sarur District,AZ
AZ-SAT,SAT,Saatli District,AZ
AZ-SIY,SIY,Siyazan District,AZ
AZ-SKR,SKR,Samkir District,AZ
AZ-SM,SM,Sumqayit (city),AZ
AZ-SMI,SMI,Samaxi District,AZ
AZ-SMX,SMX,Samux District,AZ
AZ-SS,SS,Susa District,AZ
AZ-TAR,TAR,Tartar District,AZ
AZ-TOV,TOV,Tovuz District,AZ
AZ-UCA,UCA,Ucar District,AZ
AZ-XA,XA,Xankandi District,AZ
AZ-XAC,XAC,Khachmaz District,AZ
